Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Object Recognition ,0,0,0,2,0,1,1,17,0,0,0,2,1,86,0,2,1,1,0,13,6,1,0,11,4,0,11,0,0,3,0,0,3,0,5,0,0,1,1,0,0,0,0,0,0,0,2,6,0,3,149,2,0,204,0,7,3,0,0,0,2,1,0,0,1,16,2,9,1,1,0,0,2,0,0,48,0,0,12,0,4,0,0,0,4,0,58,5,18,0,2,0,0,14,0,21,0,0,69,86,0,0,6,0,67,0,3,0,0,4,0,6,0,6,0,0,1,0,60,4,0,0,0,4,10,4,1,4
 Feature Extraction ,0,8,0,1,0,5,0,65,0,2,0,2,0,337,5,0,0,0,0,142,53,4,0,32,23,0,2,2,0,9,0,0,7,0,11,3,5,18,0,0,1,4,0,7,0,0,6,0,0,1,241,0,2,346,0,7,1,2,0,0,0,1,0,1,0,55,8,12,0,7,7,1,2,0,1,15,7,7,33,0,0,10,0,0,15,0,17,24,35,0,2,0,1,42,21,0,2,2,21,120,0,0,1,0,229,0,0,0,0,17,0,16,0,0,3,0,0,1,51,2,2,0,14,3,10,1,1,5
 Expert System ,0,0,0,3,0,2,0,5,0,10,0,0,0,15,0,0,0,0,0,5,5,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,12,0,1,8,0,2,0,1,0,0,0,0,0,0,0,2,0,0,3,0,1,1,4,0,0,6,7,1,2,1,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,2,0,0,1,60,0,0,0,0,32,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,2,0,8,0,2,0,0,0
 Ensemble Modeling ,0,0,0,1,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,15,10,0,0,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1
 Robotics ,1,0,5,3,1,71,4,83,0,2,0,3,2,170,1,1,0,2,0,19,5,0,0,63,0,0,25,0,0,9,0,0,10,1,12,0,1,5,0,0,0,26,0,88,0,0,1,147,1,6,134,7,3,146,0,4,66,0,0,0,7,2,0,7,1,44,0,18,7,3,3,1,0,0,1,1928,8,5,12,7,89,18,0,0,11,0,108,12,1,0,3,0,0,16,69,21,1,0,0,469,0,0,1,0,183,3,25,0,0,26,0,21,0,185,0,0,2,0,97,3,2,0,0,0,5,77,0,8
 AI ,0,13,2,87,0,119,28,163,13,52,5,16,18,720,20,3,7,2,0,209,133,44,1,224,89,0,31,5,0,158,3,1,50,32,65,1,15,26,1,0,15,101,2,29,9,8,24,32,8,10,861,9,14,666,0,31,149,3,0,0,22,6,0,13,6,197,7,43,28,11,34,3,65,6,12,474,126,42,61,19,41,21,0,0,23,0,105,101,50,6,23,0,0,62,86,120,60,3,469,0,0,10,14,0,1224,11,7,0,0,440,2,70,1,20,3,3,12,3,170,7,59,1,181,13,30,46,7,23
 Text Generation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NRDBMS & NoSQL ,0,0,0,27,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,0,0,3,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,1,25,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0
 Hardware Acceleration ,0,0,0,3,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,28,1,0,31,0,2,3,0,0,0,2,0,0,1,5,0,1,7,0,0,0,0,11,0,0,0,0,3,1,2,0,0,0,0,0,0,0,3,5,0,1,0,0,0,6,1,0,0,1,14,0,0,0,0,26,0,0,0,0,9,0,0,0,0,0,0,2,0,8,0,1,0,2,3,0,1,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,37,0,70,0,41,72,362,13,10,7,13,11,1758,26,2,5,1,0,954,730,54,0,804,172,0,6,11,0,183,3,0,56,9,47,1,5,39,8,2,19,83,1,37,15,11,29,12,4,6,981,4,14,655,1,27,105,4,0,1,17,30,2,32,6,205,2,29,30,37,31,6,38,3,110,149,93,38,96,9,9,14,0,1,85,2,96,261,59,27,12,0,2,60,67,229,32,17,183,1224,1,5,26,3,0,24,0,1,6,414,3,126,0,7,12,0,18,8,121,9,101,2,257,17,49,17,9,26
 Quantum Computing ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
 AUV ,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,25,7,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,5,0,0
 Deep Learningbased ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 PaaS ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,8,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
 Big Data ,0,4,0,255,0,102,13,154,0,7,6,1,10,203,3,2,0,0,0,46,40,26,0,95,7,5,1,1,0,32,0,0,13,0,4,0,2,4,8,1,2,156,1,6,12,27,10,0,2,2,141,0,40,67,0,7,7,0,0,0,38,7,4,10,11,19,0,2,11,0,2,5,48,1,4,15,18,27,19,3,0,0,1,0,14,1,17,94,5,6,21,0,0,1,4,17,15,4,26,440,0,25,9,0,414,2,1,1,4,0,6,14,0,0,2,0,20,0,13,1,97,2,114,11,4,7,2,1
 SaaS ,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,8,6,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0
 Supervised Learning ,0,4,0,5,0,0,5,15,0,1,0,3,0,132,15,0,2,0,0,51,28,5,0,47,12,0,0,0,0,6,0,0,30,0,12,2,4,4,0,0,3,0,1,0,0,1,1,4,0,1,69,0,1,56,0,0,17,1,0,0,0,3,0,3,0,21,0,3,3,1,3,0,0,0,2,13,4,1,6,0,0,0,0,0,10,0,3,21,9,3,0,0,0,7,6,16,0,0,21,70,0,0,0,0,126,0,0,0,0,14,0,0,0,3,0,0,0,0,7,2,1,0,13,0,8,1,0,7
 Optical Computing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,0,15,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0,7,0,0,9,0,0,6,0,0,0,0,2,0,1,0,5,0,0,2,0,2,0,0,0,0,173,3,1,0,0,5,1,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,185,20,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 Text Embedding ,0,0,0,0,0,0,0,3,1,0,0,2,0,10,1,0,0,0,0,2,1,4,0,2,2,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,8,0,0,13,0,0,0,0,0,0,0,0,0,1,0,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2
 Deep Neural Net ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 High Performance Computing ,0,0,0,14,0,0,0,3,0,0,0,0,12,6,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,25,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,20,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,2,12,0,1,2,0,18,0,0,0,1,20,1,0,0,0,0,0,0,0,1,0,2,2,5,5,0,0,0,0
 Boltzmann Machine ,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Computer Vision ,1,2,0,1,1,6,4,41,0,2,0,0,0,171,1,3,0,0,0,47,9,0,0,28,4,0,26,5,0,10,0,0,7,0,23,1,2,3,0,0,0,5,0,5,0,0,2,15,0,6,235,0,1,285,0,18,6,4,0,0,1,1,0,4,3,30,4,10,0,1,8,0,0,0,2,82,6,3,18,0,4,9,0,0,9,0,76,15,29,0,0,0,0,18,60,51,2,2,97,170,0,0,8,0,121,1,6,0,0,13,0,7,0,5,0,1,1,0,0,1,3,0,5,6,20,12,0,6
 Loss Functions ,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,1,0,0,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,2,0,0,3,7,0,0,0,0,9,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6
 Data Science ,0,0,0,12,0,5,2,13,0,0,1,0,0,30,0,0,0,0,0,16,6,2,0,19,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,0,4,0,1,1,1,3,0,0,0,13,0,0,3,0,1,3,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,1,1,2,1,4,0,4,0,0,0,0,0,6,0,0,13,2,4,0,0,0,0,0,2,2,0,2,59,0,1,1,0,101,1,0,0,0,97,0,1,0,0,0,0,2,0,3,1,0,0,27,1,2,0,1,0
 IaaS ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 Data Mining ,0,9,0,23,0,4,2,98,2,6,1,3,2,212,5,0,3,0,0,92,69,18,0,110,17,0,0,0,0,32,0,0,6,1,2,0,0,4,2,0,1,17,0,2,4,12,7,0,0,0,43,0,8,8,0,1,4,0,0,0,6,0,1,3,1,20,0,2,4,4,2,1,8,1,6,2,28,1,15,4,0,1,0,0,24,0,4,111,3,2,1,0,0,1,0,14,8,5,0,181,0,3,2,0,257,1,0,0,0,114,0,13,0,0,4,0,5,0,5,0,27,0,0,4,1,0,4,1
 GPU ,0,0,0,2,0,0,2,4,0,0,2,0,1,11,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,22,0,0,22,0,1,0,0,0,0,3,0,0,0,1,3,1,1,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,1,4,3,0,0,0,13,0,0,3,0,17,0,0,0,0,11,0,0,0,0,0,0,5,0,6,0,1,0,4,0,1,3,0,1
 Image Segmentation ,0,0,0,0,0,0,0,8,0,0,0,0,0,55,2,0,0,0,0,17,18,0,0,7,4,0,2,0,0,0,0,0,3,0,5,0,1,1,0,0,0,1,0,9,0,0,0,1,0,5,99,0,0,120,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,1,1,2,1,0,1,0,0,0,0,18,11,7,1,0,0,0,6,10,10,2,0,5,30,0,0,0,0,49,0,0,0,0,4,0,8,0,0,0,0,0,0,20,1,2,0,1,1,0,1,0,2
 UGV ,0,0,3,0,0,3,4,1,0,0,0,0,0,18,0,3,0,0,0,3,1,0,0,0,0,0,2,1,0,4,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,17,0,0,30,0,1,16,0,0,10,0,0,0,0,0,0,1,0,2,0,3,3,0,1,0,0,0,0,48,7,1,0,1,0,0,0,0,1,0,31,4,1,0,1,0,0,1,4,1,0,0,77,46,0,0,1,0,17,0,5,0,0,7,0,1,0,0,0,0,0,0,12,0,0,0,0,3,1,0,0,0
 Entity Recognition ,0,0,0,0,0,1,0,3,0,1,0,4,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,7,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,1,9,0,0,0,0,0,25,1,0,0,0,0,1,2,1,0,11,0,0,1,2,0,4,0,0,3,0,10,0,2,2,1,0,0,0,0,0,0,0,0,0,0,6,54,0,0,51,0,0,2,0,0,0,0,0,0,6,0,16,0,1,1,1,2,0,0,0,1,4,0,0,2,0,0,1,0,0,1,0,0,3,1,1,0,0,0,3,4,5,0,1,8,23,0,0,0,0,26,0,0,0,0,1,0,7,0,0,2,0,0,0,6,6,0,0,1,1,2,0,0,0
