Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Dynamic Cloud ,0,0,0,9,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,1,0,1,9,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,4,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0
 UAM ,2,2,4,30,0,32,50,118,1,9,6,0,6,721,0,163,0,0,0,0,193,121,0,0,150,23,0,133,0,0,7,1,0,13,0,13,0,4,4,4,0,0,72,1,89,0,1,171,2,22,0,0,1,228,0,17,390,0,23,68,10,0,0,20,4,0,12,2,0,11,5,4,25,2,15,0,10,0,0,1118,104,45,47,27,7,16,0,0,14,1,0,127,1,114,0,15,0,0,8,237,110,18,0,841,1225,0,0,10,0,240,95,0,0,0,55,0,17,0,111,0,0,8,0,442,1,3,0,21,21,87,199,0,1
 Clustering ,1,55,1,137,0,17,50,614,13,56,1,50,23,2683,111,4,16,3,0,0,573,227,34,0,445,142,1,29,3,0,174,1,0,634,0,9,2,1,21,1,12,49,118,9,7,24,30,89,392,17,0,2,2,207,0,15,146,0,27,63,24,0,0,34,19,1,39,25,0,70,1,141,71,13,69,8,69,14,10,335,248,19,724,34,20,31,1,0,332,9,127,0,51,176,0,14,0,2,17,218,502,59,4,196,2816,1,6,7,0,1573,8,9,0,0,569,3,277,0,17,8,0,40,5,256,4,44,4,1825,17,664,11,8,13
 Statistical Learning ,0,5,0,30,0,2,18,74,0,2,0,0,0,345,11,0,0,1,0,0,331,54,5,0,280,28,0,1,0,0,9,0,0,18,0,1,0,0,2,0,0,1,3,11,0,0,0,1,8,4,0,0,0,12,1,1,4,0,2,10,4,0,0,0,13,0,10,0,0,6,0,4,18,4,9,0,1,0,14,28,15,0,67,4,9,0,0,0,22,0,1,51,0,12,0,0,0,0,2,33,27,2,0,20,231,0,0,0,0,219,2,0,0,0,36,0,35,0,3,0,0,1,0,19,11,13,0,44,1,12,0,1,18
 Image Classification ,0,29,1,8,0,4,8,202,0,6,0,0,2,2372,41,0,4,1,0,0,887,167,3,0,166,54,0,8,1,0,11,0,0,23,1,18,0,3,9,0,1,6,8,11,0,2,6,8,25,2,0,0,4,487,0,2,989,0,70,5,9,0,0,6,4,0,27,11,0,51,30,20,11,13,29,0,3,1,19,25,50,1,148,5,2,7,0,0,84,0,114,176,12,0,0,0,0,0,80,186,426,13,0,32,769,0,1,14,0,330,5,0,0,0,38,0,80,0,0,3,2,10,0,196,8,3,0,35,18,169,5,0,14
 Token Classification ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Fog Computing ,0,0,0,7,0,24,1,7,0,1,1,0,0,18,0,0,0,0,0,5,2,1,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,16,0,0,384,0,0,0,1,1,0,1,0,0,0,5,0,12,3,0,1,9,0,0,0,29,0,0,0,2,0,2,1,0,5,0,0,1,87,0,0,5,13,179,0,4,0,0,1,0,1,1,15,14,0,0,0,0,2,0,2,3,4,0,0,7,67,0,0,2,0,26,0,1,0,9,62,1,0,0,0,0,0,5,0,0,0,0,6,6,0,0,3,0,0
 Dew Computing ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 Text Similarity ,0,0,0,0,0,0,0,1,3,1,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,2,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Transfer Learning ,0,2,0,2,0,1,4,68,3,6,0,16,0,348,9,0,3,1,0,0,76,19,10,0,60,4,0,8,2,0,18,0,2,8,0,14,3,2,13,0,0,9,2,0,1,1,0,4,8,0,0,0,6,423,0,0,636,0,14,60,3,0,0,0,3,0,8,0,0,59,14,12,10,5,3,0,0,0,3,71,4,1,21,3,7,5,0,0,8,1,8,17,2,80,0,2,0,0,0,61,89,2,0,50,326,0,0,0,0,178,3,0,0,0,14,0,33,0,0,0,0,0,1,56,2,1,0,7,1,17,4,4,8
 Object Recognition ,3,19,1,6,1,6,43,467,2,19,1,7,4,1491,25,6,3,5,0,0,429,72,1,0,127,28,0,282,3,0,18,0,0,63,0,10,0,36,9,1,2,1,11,2,0,2,4,223,35,23,0,2,6,547,4,1,882,0,79,38,130,0,0,4,20,0,8,39,0,38,8,61,37,16,25,1,4,1,15,963,49,1,336,15,93,29,0,0,98,0,237,218,33,186,0,3,0,0,61,0,445,8,1,743,2738,1,0,30,0,343,52,1,0,1,29,0,101,1,49,0,0,5,2,949,6,1,0,11,35,249,28,2,17
 Feature Extraction ,2,80,2,29,0,10,31,1270,3,26,0,31,2,4824,21,0,7,0,0,0,1822,313,31,0,391,345,2,78,15,0,60,1,0,96,1,20,22,10,55,2,3,22,28,14,12,1,8,134,109,8,0,0,7,758,1,10,1084,0,74,13,105,0,0,5,12,0,26,19,0,223,29,391,11,51,110,4,3,1,23,374,196,8,829,30,13,86,0,0,549,1,110,502,27,426,0,4,0,2,89,445,0,55,2,267,2909,0,0,27,0,1156,12,0,0,0,94,0,145,0,7,3,2,7,9,478,3,8,0,234,24,282,9,5,20
 Expert System ,0,3,0,15,0,8,16,419,0,183,0,1,3,533,5,1,2,0,0,0,103,23,6,0,135,30,0,3,0,0,36,5,0,5,0,0,1,0,0,0,6,0,19,0,0,2,29,11,20,7,0,0,0,27,0,8,14,0,3,7,4,0,0,8,5,1,2,2,0,7,0,20,12,0,16,1,5,6,2,64,186,1,92,10,3,5,0,0,37,0,18,59,2,13,0,0,0,0,2,8,55,0,1,58,1546,0,0,0,0,231,12,1,0,0,48,0,19,0,2,0,0,2,0,25,0,6,0,129,2,16,1,1,1
 Ensemble Modeling ,0,0,0,1,0,0,0,9,0,0,0,0,0,35,0,0,0,0,0,0,20,21,1,0,28,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,25,0,0,0,0,31,1,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,13,1,1,0,0,1
 Robotics ,5,16,9,35,2,185,142,707,0,163,3,16,20,1390,3,69,10,12,3,0,269,39,2,0,502,34,2,312,6,0,40,8,0,55,6,15,5,30,10,5,1,3,164,1,402,0,10,3010,21,39,0,1,10,418,10,27,425,0,32,595,40,0,0,38,39,0,53,28,1,178,1,177,124,8,51,4,25,7,6,27112,335,11,200,115,1213,125,1,0,87,0,841,196,20,32,0,7,0,0,50,743,267,58,0,0,9738,0,4,18,1,1266,708,6,0,7,91,3,82,0,3065,0,0,15,1,940,5,10,1,58,43,99,274,0,20
 AI ,7,195,14,565,1,324,384,3477,438,1555,20,584,120,10572,310,55,129,26,2,3,3369,896,446,6,2283,1617,6,1094,31,0,1609,155,2,702,134,192,24,92,100,13,66,290,939,104,180,48,200,3504,1744,214,0,4,35,3048,27,110,2754,4,297,1741,415,0,0,169,128,6,260,115,0,1392,37,2215,475,54,788,29,284,175,108,18188,2054,110,3103,440,1280,461,7,1,698,2,1225,2816,231,769,0,67,0,9,326,2738,2909,1546,25,9738,0,11,60,87,3,7667,358,190,0,24,1910,42,1046,6,1593,42,8,167,45,3337,41,179,28,3854,121,2067,484,94,116
 Text Generation ,0,0,0,0,0,0,0,2,9,0,0,6,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,16,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 NRDBMS & NoSQL ,0,0,0,245,0,4,0,135,0,7,0,0,4,14,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,6,0,0,0,2,0,0,0,0,2,1,0,105,0,0,2,93,0,5,1,0,0,0,3,0,40,0,0,0,3,0,0,0,7,0,3,0,3,0,1,0,0,4,0,1,1,5,0,0,3,2,3,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,30,0,0,0,5,194,7,0,0,0,0,0,7,0,0,0,5,3,17,0,0,0,0,0
 Hardware Acceleration ,0,0,0,10,0,0,8,27,1,0,3,1,20,47,0,0,0,0,0,0,13,0,0,0,3,3,0,5,0,0,2,0,0,1,0,0,1,0,0,0,1,0,48,0,0,0,4,5,4,8,0,0,1,54,3,0,85,0,6,4,4,0,0,8,1,0,1,25,0,4,2,16,1,0,2,2,46,0,0,26,6,6,7,7,1,6,0,0,2,0,10,7,0,14,0,2,0,2,0,30,27,0,0,18,87,0,0,0,0,69,0,2,0,0,32,0,2,0,0,0,0,65,1,48,0,2,1,12,67,7,4,0,0
 Bayesian Machine Learning ,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,2,1,1,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
 Machine Learning ,0,217,4,396,0,110,250,2000,70,139,15,92,45,10002,148,5,88,3,0,2,5465,2494,285,3,3667,712,1,40,26,0,861,28,0,300,18,105,20,14,83,14,23,197,318,51,96,54,63,94,361,55,0,0,10,2292,20,53,1541,1,97,494,49,0,1,86,99,4,173,36,0,581,9,253,184,117,183,19,145,17,293,1180,686,60,1121,124,77,107,0,1,509,4,240,1573,219,330,1,26,2,13,178,343,1156,231,31,1266,7667,3,30,69,11,0,29,67,1,8,1447,9,725,6,60,24,2,100,35,667,42,225,11,1886,53,279,62,113,88
 AUV ,0,5,0,2,0,0,17,19,0,1,0,0,0,103,0,35,0,0,0,0,17,5,0,0,19,0,0,43,0,0,0,0,0,2,0,1,0,0,1,0,0,0,6,0,6,0,0,85,0,7,0,0,0,15,0,4,21,0,6,33,0,0,0,4,1,0,5,0,0,9,0,0,8,0,4,0,0,0,0,666,41,1,3,15,0,1,0,0,6,0,95,8,2,5,0,0,0,0,3,52,12,12,1,708,358,0,0,0,0,29,0,0,0,0,3,0,0,0,97,0,0,0,0,47,0,0,0,0,1,9,46,0,0
 Quantum Computing ,0,14,0,33,0,0,48,34,0,0,0,0,27,53,0,1,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,5,0,1,0,0,0,4,1,0,0,0,5,1,19,8,0,1,9,0,0,0,13,1,0,6,16,0,8,0,0,14,0,1,6,0,0,0,3,40,0,8,95,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,1,0,6,190,0,0,2,0,67,0,0,0,0,6,0,2,8,0,1,0,10,2,1,0,1,0,5,17,3,0,0,0
 Deep Learningbased ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 PaaS ,0,0,1,26,0,1,0,16,0,1,3,0,1,9,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,8,0,295,0,0,0,5,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,1,1,0,0,24,0,0,8,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,7,24,0,5,0,0,8,0,0,0,0,21,131,0,0,0,0,0,5,0,0,0,1,134,2,0,0,1,0,0
 Big Data ,2,20,2,1501,0,288,63,846,4,32,21,12,89,1039,19,3,3,1,0,1,256,151,125,0,471,30,17,2,2,0,148,2,1,48,1,6,1,5,7,29,34,18,1164,6,23,40,193,5,90,9,1,0,2,360,3,232,168,0,13,26,7,0,0,230,22,43,36,104,0,52,2,16,47,18,9,44,335,12,13,89,68,70,90,28,3,8,26,0,121,5,55,569,36,38,0,62,3,1,14,29,94,48,5,91,1910,0,194,32,0,1447,3,6,1,21,0,25,73,2,0,5,2,186,2,69,4,298,14,878,61,21,30,17,10
 SaaS ,0,0,0,25,0,2,2,26,0,1,3,0,0,15,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,409,0,1,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,9,0,1,0,2,0,0,0,2,1,1,0,0,29,0,0,3,1,4,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,3,42,0,7,0,0,9,0,0,0,131,25,0,0,0,0,0,0,12,0,0,0,1,115,9,0,0,0,2,0
 Supervised Learning ,0,26,0,27,0,4,20,180,4,11,0,6,1,1454,136,1,12,8,0,0,622,168,32,2,377,131,0,10,4,0,55,0,0,228,0,15,2,7,12,0,1,31,7,6,0,2,2,33,30,5,0,0,2,202,3,3,213,0,6,82,14,0,0,4,9,0,41,2,0,70,4,22,19,11,100,2,3,4,18,139,88,2,146,10,12,6,0,0,61,0,17,277,35,80,0,0,0,0,33,101,145,19,0,82,1046,0,0,2,0,725,0,2,0,0,73,0,0,0,9,1,0,4,4,86,16,5,0,160,3,53,6,5,24
 Optical Computing ,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,6,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,1,0,30,27,28,0,3,1,0,1,128,0,3,0,1,1,0,13,2,0,0,42,23,0,47,0,0,4,0,0,2,0,2,0,0,0,0,0,0,2,0,40,0,1,307,0,28,0,0,0,17,0,2,20,0,1,60,0,0,0,4,3,0,6,2,0,18,0,5,8,0,15,0,1,0,0,5886,174,1,5,29,164,15,0,0,7,0,111,17,3,0,0,0,0,0,0,49,7,2,0,3065,1593,0,0,0,0,60,97,0,0,0,0,0,9,0,0,0,0,1,0,53,0,0,0,1,4,5,8,0,4
 Text Embedding ,0,0,0,3,0,0,0,6,5,1,0,3,0,31,1,0,1,0,0,0,14,1,12,0,3,2,0,0,0,0,44,0,0,8,1,0,0,0,2,0,0,10,1,0,0,3,0,0,19,0,0,0,3,38,0,0,35,0,0,2,0,0,0,0,0,0,2,0,0,28,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,1,0,0,3,0,0,0,42,0,0,0,0,24,0,1,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,8,0,0,0,4,2
 Deep Neural Net ,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 High Performance Computing ,13,0,0,87,10,2,118,86,0,2,5,0,405,96,2,0,0,0,0,2,36,7,1,0,36,5,5,0,0,0,3,0,0,3,0,9,0,0,3,15,131,1,272,0,0,0,7,1,6,13,0,0,0,48,1,33,11,0,3,6,0,0,1,160,8,14,5,85,0,1,0,2,16,0,2,55,156,0,0,18,68,9,12,14,2,0,8,0,7,0,8,40,1,10,0,5,0,0,0,5,7,2,1,15,167,0,7,65,0,100,0,10,0,5,186,12,4,1,1,0,0,0,0,19,0,11,18,52,247,8,1,0,1
 Boltzmann Machine ,0,0,0,0,0,0,4,9,0,0,0,0,0,37,1,0,0,0,0,0,17,1,0,0,5,5,0,0,3,0,1,0,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,54,0,0,7,0,2,1,0,0,0,0,0,0,2,1,0,9,0,4,2,1,2,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1,2,9,0,0,1,45,0,0,1,0,35,0,2,0,0,2,0,4,0,0,2,0,0,0,5,0,0,0,2,4,1,0,0,0
 Computer Vision ,1,20,1,14,2,14,31,428,1,26,1,8,4,1591,18,8,0,4,0,0,450,75,4,0,295,33,1,302,7,0,61,0,0,37,0,46,1,22,13,1,3,2,36,3,13,2,7,182,49,24,0,2,12,712,3,9,1024,0,82,24,136,0,0,8,12,0,39,33,0,76,14,63,10,19,31,0,3,0,12,867,112,8,528,31,50,119,0,0,116,0,442,256,19,196,0,0,0,0,56,949,478,25,2,940,3337,1,0,48,0,667,47,1,0,0,69,0,86,0,53,0,1,19,5,0,10,4,0,67,56,408,49,3,31
 Loss Functions ,0,1,0,3,0,0,0,4,0,0,1,0,0,52,5,0,0,0,0,0,21,3,4,0,33,1,0,0,2,0,5,0,0,4,0,20,0,0,1,0,0,4,1,0,0,0,0,0,5,1,0,0,0,39,0,0,48,0,0,2,0,0,0,1,1,0,4,0,0,9,0,2,2,0,1,1,0,0,4,2,0,0,6,0,0,0,0,0,3,0,1,4,11,8,0,0,0,0,2,6,3,0,0,5,41,0,0,0,0,42,0,0,0,0,4,0,16,0,0,0,0,0,0,10,0,1,0,4,0,3,0,0,45
 Data Science ,0,1,0,35,0,8,3,42,0,4,1,0,3,88,2,0,0,1,0,0,29,17,6,0,57,2,0,0,0,0,11,0,0,3,1,1,0,0,1,2,4,1,17,0,1,4,4,0,5,1,0,0,0,26,0,5,9,0,4,4,0,0,0,4,3,3,2,0,0,8,0,0,1,3,0,1,8,1,4,3,8,0,12,0,0,0,0,0,20,0,3,44,13,3,0,0,1,0,1,1,8,6,0,10,179,0,5,2,0,225,0,1,0,1,298,1,5,0,0,0,0,11,0,4,1,0,1,103,1,2,1,1,0
 IaaS ,0,0,1,73,0,2,2,10,0,0,2,0,5,11,0,0,0,0,0,0,3,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,594,0,0,0,4,0,0,1,0,0,0,1,0,2,0,0,0,6,0,0,0,12,0,4,0,2,0,0,0,0,4,1,0,2,101,0,0,3,7,6,0,2,0,0,3,0,0,4,0,4,0,0,0,6,0,0,0,0,0,0,0,1,28,0,3,1,0,11,0,0,0,134,14,115,0,0,0,0,0,18,0,0,0,1,0,1,0,0,1,0,0
 Data Mining ,1,68,0,232,0,25,41,1767,9,113,2,15,16,3018,32,1,47,0,0,0,832,353,79,0,1004,180,5,3,1,0,193,4,0,99,1,3,1,1,6,3,50,41,165,4,4,19,190,7,268,15,0,0,0,120,0,66,31,0,12,21,10,0,0,77,17,7,16,32,0,38,0,31,46,19,47,9,41,6,24,49,406,7,352,62,1,7,5,0,264,1,21,1825,44,35,0,6,1,1,7,11,234,129,13,58,3854,0,17,12,1,1886,0,5,0,2,878,9,160,0,1,8,0,52,2,67,4,103,1,0,27,23,2,28,9
 GPU ,2,0,0,5,4,1,18,23,0,1,3,0,63,84,0,0,0,0,0,0,30,4,0,0,21,2,0,7,0,0,1,0,0,2,0,3,0,1,1,0,3,1,41,0,2,0,3,9,5,7,0,0,2,55,0,1,63,0,4,2,3,0,0,21,2,0,2,48,0,14,1,5,3,1,10,5,20,0,0,25,9,2,29,4,0,0,0,0,8,1,21,17,1,18,0,0,0,0,1,35,24,2,1,43,121,0,0,67,0,53,1,17,0,0,61,0,3,0,4,0,0,247,4,56,0,1,0,27,0,36,4,0,2
 Image Segmentation ,0,28,0,10,3,0,54,335,1,9,0,0,0,1402,18,5,3,0,0,0,273,117,0,0,115,32,0,24,0,0,5,0,0,35,0,16,0,2,4,0,0,0,8,0,25,0,1,34,6,24,0,0,13,194,0,6,351,0,23,3,15,0,1,0,24,0,40,19,0,18,0,10,87,7,21,2,0,0,1,81,128,1,187,18,6,11,0,0,73,1,87,664,12,169,0,0,0,0,17,249,282,16,1,99,2067,0,0,7,1,279,9,3,0,0,21,0,53,0,5,0,0,8,1,408,3,2,0,23,36,0,7,1,9
 UGV ,0,3,11,4,0,7,15,17,0,2,0,0,0,79,0,34,0,0,0,0,16,4,0,0,9,1,0,16,1,0,5,0,0,1,0,4,0,0,1,3,0,0,11,0,1,1,0,147,0,4,0,0,0,83,0,2,68,0,5,22,2,0,0,4,1,0,2,2,0,7,0,4,17,0,1,0,3,0,0,384,24,5,4,9,3,1,0,0,3,0,199,11,0,5,0,3,0,0,4,28,9,1,0,274,484,0,0,4,2,62,46,0,0,1,30,0,6,0,8,0,0,1,0,49,0,1,1,2,4,7,0,0,0
 Entity Recognition ,0,0,0,4,0,1,0,23,10,1,0,16,0,56,6,0,0,0,0,0,26,2,15,0,1,1,0,0,0,0,208,0,1,7,0,0,0,3,0,0,1,4,2,0,0,4,2,0,58,0,0,0,0,32,0,1,5,1,0,0,0,0,0,1,0,0,1,0,0,31,0,18,0,4,1,0,0,12,0,4,3,0,2,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,4,2,5,1,0,0,94,0,0,0,0,113,0,0,0,0,17,2,5,0,0,4,0,0,0,3,0,1,0,28,0,1,0,0,0
 Loss Function ,0,1,0,3,0,0,4,21,5,1,0,6,0,136,15,0,1,0,0,0,46,9,1,0,71,7,0,15,3,0,11,0,0,11,0,32,0,2,8,1,0,0,0,4,6,0,0,6,5,0,0,0,9,158,0,2,162,0,3,7,0,0,0,0,1,0,18,0,0,41,1,12,2,1,5,0,0,0,11,15,2,0,27,1,0,1,0,0,5,0,1,13,18,14,0,0,0,0,8,17,20,1,1,20,116,1,0,0,0,88,0,0,0,0,10,0,24,0,4,2,0,1,0,31,45,0,0,9,2,9,0,0,0
