Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Bayesian Machine Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Machine Learning ,0,27,2,76,0,48,58,322,5,12,3,8,11,1621,27,1,11,1,0,801,557,63,1,688,99,0,6,6,139,3,52,9,44,4,3,26,1,0,35,74,1,20,9,6,14,46,8,1,716,5,473,12,22,76,5,0,13,19,0,35,5,205,2,42,35,33,39,2,20,3,60,182,90,11,148,20,8,12,0,0,79,1,69,253,78,32,5,0,48,52,210,24,6,174,1186,0,5,25,1,0,5,20,1,359,1,131,1,13,4,0,27,6,133,9,64,3,223,8,54,27,17,19
 AUV ,0,0,0,2,0,0,0,7,0,0,0,0,0,17,0,10,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,6,0,0,0,13,0,12,2,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,125,6,0,1,7,0,0,0,0,2,0,16,0,0,0,0,0,3,18,0,0,0,127,24,0,0,0,0,5,0,0,0,1,0,0,0,31,0,0,0,0,6,0,0,0,0,0,0,6,0,0
 Quantum Computing ,0,2,0,5,0,0,4,1,0,0,0,0,6,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,5,0,0,2,0,0,1,1,2,0,0,4,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,20,0,0,1,0,20,0,0,0,3,0,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
 PaaS ,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,18,0,0,0,1,0,0
 Big Data ,1,3,2,320,0,88,14,146,0,5,5,3,22,213,7,0,1,0,1,58,34,33,0,96,8,1,0,0,27,1,15,1,2,0,1,3,7,2,6,225,0,6,10,27,0,15,0,0,114,0,48,38,4,5,3,0,52,5,7,3,20,19,1,3,7,6,1,13,64,2,3,35,17,25,23,6,3,1,3,0,24,1,11,124,11,4,24,1,6,9,21,9,0,25,439,0,33,3,0,359,1,3,5,0,1,17,0,0,2,1,38,0,12,0,88,5,165,5,7,10,5,4
 SaaS ,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0
 Supervised Learning ,0,4,0,5,0,3,2,20,0,2,0,1,0,161,19,1,0,1,0,62,33,7,0,51,18,0,1,3,11,0,26,0,3,0,1,6,0,0,2,1,0,0,0,0,3,5,0,1,78,1,78,0,1,7,1,0,1,0,0,3,0,13,1,3,1,1,12,0,0,0,1,18,2,0,18,1,1,2,0,0,5,0,4,33,9,3,0,0,10,8,11,0,0,8,79,0,0,0,0,131,0,2,0,17,0,0,0,1,1,0,1,1,17,1,1,0,19,0,6,2,0,2
 Optical Computing ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Manipulator ,0,0,0,0,0,8,2,1,0,1,1,0,0,10,0,0,0,0,0,3,2,0,0,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,29,0,0,0,6,0,11,0,0,11,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,601,15,0,0,1,7,3,0,0,0,0,15,1,0,0,0,0,0,8,0,0,0,298,103,0,0,0,0,13,31,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 Text Embedding ,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,2,1,0,0,0,1,0,0,4,1,0,0,1,0,0,7,0,0,13,0,6,0,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Deep Neural Net ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 High Performance Computing ,2,0,0,10,2,2,16,10,0,0,0,0,56,16,0,0,0,0,0,10,3,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,38,0,0,0,0,0,0,1,0,14,1,4,1,0,0,0,0,19,1,5,1,10,0,0,0,4,0,0,7,22,0,0,4,6,4,0,1,0,0,1,0,3,0,2,1,0,0,1,0,0,1,1,2,0,5,20,0,1,14,0,27,0,0,0,38,0,1,0,0,0,0,0,0,2,0,3,1,7,28,2,0,0,1
 Boltzmann Machine ,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
 Computer Vision ,0,2,0,4,0,6,5,45,0,3,0,2,1,199,2,0,0,2,0,45,16,0,0,54,0,0,34,1,19,0,9,0,15,0,3,5,1,0,1,16,0,2,0,0,13,5,2,4,249,0,308,0,22,6,13,0,0,0,0,2,3,25,3,14,0,1,4,0,0,0,0,95,12,1,40,5,1,8,0,0,10,0,102,27,39,2,0,0,15,102,63,5,0,121,260,1,0,9,0,133,6,0,0,12,0,17,0,3,0,0,2,1,0,4,1,0,10,4,34,11,0,5
 Loss Functions ,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,1,1,1,0,5,1,0,0,0,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,20,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15
 Data Science ,0,0,0,9,0,1,0,14,0,1,0,0,1,21,1,0,0,1,0,7,6,0,0,16,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,4,0,0,0,1,0,1,0,0,6,0,5,3,3,1,0,0,2,0,2,1,0,3,0,0,0,2,0,0,3,0,1,2,1,0,4,0,0,0,0,0,4,0,2,14,1,4,0,0,1,0,3,2,0,4,48,0,1,1,0,64,0,0,1,88,0,1,0,0,0,0,3,0,1,0,0,1,23,0,0,1,0,0
 IaaS ,0,0,1,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,54,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,10,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,18,5,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
 Data Mining ,0,2,0,38,0,5,4,86,0,7,0,1,2,226,6,0,4,0,0,81,55,16,0,100,12,1,0,0,19,0,17,0,0,0,0,1,0,0,7,15,0,1,5,10,0,19,3,0,29,0,15,2,4,1,2,0,9,3,0,1,3,6,0,3,0,3,4,4,4,0,3,7,24,2,30,6,0,1,0,0,26,0,5,129,6,2,3,0,3,0,19,6,2,6,231,0,5,1,1,223,0,0,0,165,1,19,0,0,1,0,7,1,10,0,23,0,0,3,3,1,2,0
 GPU ,0,0,0,0,2,0,1,1,0,0,0,0,7,10,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,9,0,0,0,1,1,1,2,1,12,0,18,1,1,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,7,0,0,7,1,1,2,0,0,0,0,0,1,0,10,0,4,0,0,0,0,3,1,2,0,8,16,0,0,11,0,8,0,2,0,5,0,0,0,0,0,0,28,0,4,0,0,0,3,0,3,0,0,1
 Image Segmentation ,0,2,0,3,0,0,4,21,0,2,0,0,0,90,2,0,0,0,0,20,19,0,0,13,0,0,3,0,0,0,1,0,7,0,0,1,0,0,0,3,0,3,0,0,1,0,0,4,60,0,117,0,3,1,0,0,0,0,0,1,2,3,0,1,0,0,2,1,0,0,1,4,3,0,5,2,0,0,0,0,6,1,19,29,26,0,0,0,5,15,24,2,0,6,84,0,0,1,0,54,0,0,0,7,0,6,0,0,0,0,2,1,34,0,0,0,3,3,0,1,0,2
 UGV ,0,0,0,3,0,2,0,4,0,0,0,0,0,15,0,6,0,0,0,1,0,0,0,2,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,5,0,1,1,0,11,0,1,0,32,0,30,0,1,4,0,0,1,0,0,0,0,5,0,1,3,0,0,0,1,0,0,60,2,3,1,3,2,0,0,0,1,0,43,0,2,0,0,0,2,7,2,0,0,36,88,0,0,0,0,27,6,0,1,10,0,2,0,0,0,0,0,0,11,0,1,1,1,0,1,0,0,0
 Entity Recognition ,0,0,0,1,0,0,0,3,1,0,0,1,0,5,1,0,0,0,0,1,1,1,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,17,0,3,0,0,0,0,0,0,0,0,1,0,8,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,15,0,0,0,0,17,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 Loss Function ,0,0,0,0,0,0,1,5,1,0,0,3,0,27,2,0,0,0,0,6,2,0,0,15,1,0,6,1,4,0,2,0,21,0,0,4,0,0,0,0,0,6,0,0,0,1,0,2,69,0,62,0,2,1,0,0,0,0,0,5,0,16,1,4,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,2,5,3,0,0,4,20,1,0,0,0,19,0,0,0,4,0,2,0,0,0,0,1,0,5,15,0,0,0,1,2,0,0,0
